id,наименование_задачи,тип_задачи,технологический_стек,срок_выполнения_дней,цена_руб,ценовой_диапазон
2477,Дизайн email-шаблона,UI/UX Дизайн,Figma+FigJam,21,17500,15 000–30 000 ₽
2478,Платформа онлайн-курсов с оплатой,Fullstack-разработка,Next.js+Node.js+MongoDB,40,65600,60 000–120 000 ₽
2479,Адаптивная вёрстка корпоративного сайта,Вёрстка,Vue.js+CSS,7,6500,5 000–15 000 ₽
2480,Приложение для бронирования,Мобильное приложение,React Native+Redux,37,74000,60 000–120 000 ₽
2481,UX-аудит сайта,UI/UX Дизайн,Figma+Lottie,6,19000,15 000–30 000 ₽
2482,Промо-страница для нового продукта,Лендинг,HTML+CSS+JS,19,3000,до 5 000 ₽
2483,Приложение трекинга тренировок,Мобильное приложение,Flutter,46,57000,30 000–60 000 ₽
2484,Индексирование и рефакторинг JOIN,Оптимизация SQL,ClickHouse,3,13500,5 000–15 000 ₽
2485,Скрипт обработки изображений,Автоматизация и скрипты,Python+openpyxl,14,3500,до 5 000 ₽
2486,Дизайн дашборда аналитики,UI/UX Дизайн,Adobe XD,3,10000,5 000–15 000 ₽
2487,Вёрстка административной панели,Вёрстка,Next.js+SCSS,11,12300,5 000–15 000 ₽
2488,MVP SaaS с подпиской,Fullstack-разработка,Next.js+Supabase,44,43000,30 000–60 000 ₽
2489,API управления заказами,Написание API,Django REST,20,15000,15 000–30 000 ₽
2490,Вёрстка административной панели,Вёрстка,Next.js+SCSS,14,10000,5 000–15 000 ₽
2491,Система бронирования,Fullstack-разработка,Vue.js+Django+PostgreSQL,54,34000,30 000–60 000 ₽
2492,Сбор вакансий с hh.ru,Парсинг данных,Python+requests,6,5000,5 000–15 000 ₽
2493,Вёрстка административной панели,Вёрстка,HTML+CSS+BEM,3,7000,5 000–15 000 ₽
2494,Лендинг с видео-фоном и анимацией,Лендинг,WordPress,6,3000,до 5 000 ₽
2495,Лендинг для event-агентства,Лендинг,Vue.js,3,19500,15 000–30 000 ₽
2496,MVP приложения доставки еды,Мобильное приложение,React Native+Redux,44,33000,30 000–60 000 ₽
2497,Учебное приложение с карточками,Мобильное приложение,Flutter,40,50600,30 000–60 000 ₽
2498,Докеризация приложения,CI/CD и DevOps,Ansible,9,6000,5 000–15 000 ₽
2499,Webhook-интеграция с Telegram,Написание API,Kotlin+Ktor,10,16400,15 000–30 000 ₽
2500,Nginx+SSL+reverse proxy,CI/CD и DevOps,Kubernetes+Helm,7,15500,15 000–30 000 ₽
2501,Оптимизация запроса аналитики,Оптимизация SQL,MySQL,7,6000,5 000–15 000 ₽
2502,Мониторинг цен конкурентов,Парсинг данных,Python+requests,5,6500,5 000–15 000 ₽
2503,Мониторинг цен конкурентов,Парсинг данных,Python+Selenium,12,5000,5 000–15 000 ₽
2504,Интернет-магазин одежды,Интернет-магазин,Laravel+Vue,19,62300,60 000–120 000 ₽
2505,Лендинг для детского лагеря,Лендинг,HTML+Bootstrap,2,4000,до 5 000 ₽
2506,Дизайн-система и UI-кит,UI/UX Дизайн,Figma+Lottie,5,33000,30 000–60 000 ₽
2507,Интернет-аптека с кабинетом,Интернет-магазин,Laravel+Vue,8,30500,30 000–60 000 ₽
2508,Лендинг для онлайн-курса,Лендинг,HTML+Bootstrap,11,3400,до 5 000 ₽
2509,Докеризация приложения,CI/CD и DevOps,Ansible,6,12000,5 000–15 000 ₽
2510,Продающий лендинг для SaaS,Лендинг,Next.js,7,11500,5 000–15 000 ₽
2511,Дашборд с графиками,UI-компонент,React+Storybook,9,11000,5 000–15 000 ₽
2512,Миграция на новый VPS,CI/CD и DevOps,Ansible,10,9000,5 000–15 000 ₽
2513,Автовыгрузка данных в Excel,Автоматизация и скрипты,Bash+Python,1,4000,до 5 000 ₽
2514,Вёрстка email-шаблона,Вёрстка,React+CSS Modules,11,9000,5 000–15 000 ₽
2515,Вёрстка дашборда аналитики,Вёрстка,Next.js+SCSS,8,11500,5 000–15 000 ₽
2516,Магазин детских товаров,Интернет-магазин,React+Node.js,7,89000,60 000–120 000 ₽
2517,Ускорение отчётов PostgreSQL,Оптимизация SQL,ClickHouse,2,6000,5 000–15 000 ₽
2518,Миграция на новый VPS,CI/CD и DevOps,GitLab CI,8,8800,5 000–15 000 ₽
2519,Докеризация приложения,CI/CD и DevOps,GitLab CI,2,9300,5 000–15 000 ₽
2520,Лендинг для службы доставки,Лендинг,React,4,10500,5 000–15 000 ₽
2521,API для мобильного приложения,Написание API,FastAPI+PostgreSQL,19,16000,15 000–30 000 ₽
2522,React-таблица с сортировкой,UI-компонент,Vue.js,3,6000,5 000–15 000 ₽
2523,Дизайн-система и UI-кит,UI/UX Дизайн,Figma,11,10100,5 000–15 000 ₽
2524,Accordion FAQ,UI-компонент,React+Tailwind,7,5000,5 000–15 000 ₽
2525,Лендинг для фитнес-клуба,Лендинг,Next.js,4,11000,5 000–15 000 ₽
2526,CRUD API системы задач,Написание API,Node.js+Express,7,14800,5 000–15 000 ₽
2527,API авторизации JWT и OAuth,Написание API,Node.js+Express,14,14000,5 000–15 000 ₽
2528,Вёрстка мобильного меню,Вёрстка,HTML+Tailwind,13,3000,до 5 000 ₽
2529,Вёрстка административной панели,Вёрстка,HTML+CSS+BEM,2,3700,до 5 000 ₽
2530,React-таблица с сортировкой,UI-компонент,Angular,6,8000,5 000–15 000 ₽
2531,Интеграция Bitrix24,Автоматизация и скрипты,n8n,1,5000,5 000–15 000 ₽
2532,Мультивендорный магазин,Интернет-магазин,Laravel+Vue,17,60000,60 000–120 000 ₽
2533,Парсер новостей,Парсинг данных,Python+BeautifulSoup,14,4000,до 5 000 ₽
2534,Докеризация приложения,CI/CD и DevOps,Kubernetes+Helm,10,12500,5 000–15 000 ₽
2535,Страница для сбора заявок,Лендинг,HTML+Bootstrap,16,7000,5 000–15 000 ₽
2536,Лендинг для фитнес-клуба,Лендинг,WordPress,15,3500,до 5 000 ₽
2537,Промо-страница для нового продукта,Лендинг,React,15,17000,15 000–30 000 ₽
2538,Мониторинг Prometheus/Grafana,CI/CD и DevOps,GitLab CI,2,19400,15 000–30 000 ₽
2539,Лендинг с видео-фоном и анимацией,Лендинг,HTML+Bootstrap,9,8000,5 000–15 000 ₽
2540,API для мобильного приложения,Написание API,Django REST,15,10000,5 000–15 000 ₽
2541,Лендинг для event-агентства,Лендинг,HTML+Bootstrap,2,3500,до 5 000 ₽
2542,Переписать N+1 в ORM,Оптимизация SQL,BigQuery,8,9000,5 000–15 000 ₽
2543,Лендинг для фитнес-клуба,Лендинг,WordPress,20,7500,5 000–15 000 ₽
2544,Переписать N+1 в ORM,Оптимизация SQL,PostgreSQL+ORM,5,5000,5 000–15 000 ₽
2545,API управления заказами,Написание API,Django REST,16,6500,5 000–15 000 ₽
2546,Миграция на новый VPS,CI/CD и DevOps,Ansible,10,6000,5 000–15 000 ₽
2547,Магазин детских товаров,Интернет-магазин,Django+React,44,76100,60 000–120 000 ₽
2548,Дизайн-система и UI-кит,UI/UX Дизайн,Adobe XD,15,14500,5 000–15 000 ₽
2549,Accordion FAQ,UI-компонент,Vue.js,2,4000,до 5 000 ₽
2550,UX-аудит сайта,UI/UX Дизайн,Sketch,10,16000,15 000–30 000 ₽
2551,Интернет-магазин одежды,Интернет-магазин,Shopify,45,14000,5 000–15 000 ₽
2552,Вёрстка личного кабинета,Вёрстка,React+CSS Modules,5,4400,до 5 000 ₽
2553,Оптимизация запроса аналитики,Оптимизация SQL,PostgreSQL,7,8500,5 000–15 000 ₽
2554,Accordion FAQ,UI-компонент,Svelte,1,6600,5 000–15 000 ₽
2555,Компонент загрузки файлов,UI-компонент,Vue.js,9,5000,5 000–15 000 ₽
2556,Мониторинг наличия на Wildberries,Парсинг данных,Python+Playwright,9,13500,5 000–15 000 ₽
2557,Ускорение отчётов PostgreSQL,Оптимизация SQL,MySQL,10,6000,5 000–15 000 ₽
2558,Лендинг для агентства недвижимости,Лендинг,Vue.js,5,9000,5 000–15 000 ₽
2559,Мониторинг сервера с алертами,Автоматизация и скрипты,Python+openpyxl,13,7000,5 000–15 000 ₽
2560,Вёрстка административной панели,Вёрстка,React+CSS Modules,6,9300,5 000–15 000 ₽
2561,API интеграции с 1С,Написание API,FastAPI+PostgreSQL,15,16000,15 000–30 000 ₽
2562,Лендинг для детского лагеря,Лендинг,HTML+Bootstrap,17,7000,5 000–15 000 ₽
2563,Система бронирования,Fullstack-разработка,Vue.js+Django+PostgreSQL,38,48000,30 000–60 000 ₽
2564,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Figma,9,11000,5 000–15 000 ₽
2565,Вёрстка дашборда аналитики,Вёрстка,HTML+Tailwind,1,6000,5 000–15 000 ₽
2566,Kubernetes-манифесты,CI/CD и DevOps,Ansible,2,13000,5 000–15 000 ₽
2567,Приложение для записи к врачу,Мобильное приложение,Kotlin (Android),53,27000,15 000–30 000 ₽
2568,Продающий лендинг для SaaS,Лендинг,Vue.js,13,13900,5 000–15 000 ₽
2569,MVP приложения доставки еды,Мобильное приложение,React Native+Redux,29,46000,30 000–60 000 ₽
2570,Мониторинг сервера с алертами,Автоматизация и скрипты,n8n,9,3500,до 5 000 ₽
2571,Вёрстка мобильного меню,Вёрстка,Next.js+SCSS,1,10500,5 000–15 000 ₽
2572,Адаптивная вёрстка корпоративного сайта,Вёрстка,Vue.js+CSS,13,4000,до 5 000 ₽
2573,API для мобильного приложения,Написание API,Node.js+Express,10,5100,5 000–15 000 ₽
2574,Сбор отзывов с Google Maps,Парсинг данных,Python+BeautifulSoup,4,3500,до 5 000 ₽
2575,Многопользовательский чат,Fullstack-разработка,Vue.js+Django+PostgreSQL,59,38000,30 000–60 000 ₽
2576,GraphQL API для портала,Написание API,Go+Gin,10,24500,15 000–30 000 ₽
2577,Планировщик с Cron,Автоматизация и скрипты,Bash+Python,7,7000,5 000–15 000 ₽
2578,Accordion FAQ,UI-компонент,React+TypeScript,4,7900,5 000–15 000 ₽
2579,Лендинг для event-агентства,Лендинг,HTML+CSS+JS,14,5500,5 000–15 000 ₽
2580,API интеграции с 1С,Написание API,Node.js+Express,4,9000,5 000–15 000 ₽
2581,API для мобильного приложения,Написание API,NestJS+TypeScript,4,26500,15 000–30 000 ₽
2582,Лендинг для онлайн-курса,Лендинг,React,3,14000,5 000–15 000 ₽
2583,Вёрстка дашборда аналитики,Вёрстка,HTML+CSS+BEM,13,3300,до 5 000 ₽
2584,Мониторинг Prometheus/Grafana,CI/CD и DevOps,Docker Compose,1,9000,5 000–15 000 ₽
2585,Форма с валидацией,UI-компонент,React+Tailwind,7,4000,до 5 000 ₽
2586,MVP приложения доставки еды,Мобильное приложение,React Native+TS,33,71000,60 000–120 000 ₽
2587,Сбор вакансий с hh.ru,Парсинг данных,Python+requests,8,4600,до 5 000 ₽
2588,Дизайн-система и UI-кит,UI/UX Дизайн,Figma+FigJam,16,24700,15 000–30 000 ₽
2589,Вёрстка формы wizard,Вёрстка,HTML+CSS+BEM,9,6000,5 000–15 000 ₽
